Rang,Dénomination,SIREN,Ville,CP,Région,Effectif,Stagiaires,Spécialité,Score,Priorité,Production_est,Email,LinkedIn,Statut,Notes
154,UDPS 13 UNION DEPARTEMENTALE DES PREMIERS SECOURS DES BOUCHES DU RHONE,422263053,,,Provence-Alpes-Côte d'Azur,5,386,"Enseignement, formation",85.0,🟠,11.6,,,,
155,BIZI ONA,828534727,COLOMBES,92700,Île-de-France,4,383,Développement des capacités comportementales et relationnelles,85.0,🟠,9.6,,,,
156,SARL AUTO ECOLE CARAVELLE,332171313,NICE,61000,Provence-Alpes-Côte d'Azur,5,377,"Enseignement, formation",85.0,🟠,11.6,,,,
157,EURL SAJ,902920537,GRENOBLE,38100,Auvergne-Rhône-Alpes,4,377,"Enseignement, formation",85.0,🟠,9.6,,,,
158,POLE POSITION ROISSY,910061936,ROISSY EN BRIE,77680,Île-de-France,5,373,"Enseignement, formation",85.0,🟠,11.6,,,,
159,MISSION CONDUITE,914179593,CLAMART,92140,Île-de-France,4,373,"Enseignement, formation",85.0,🟠,9.6,,,,
160,COMERGENCE,822938379,ST GERMAIN EN LAYE,78100,Île-de-France,5,369,"Ressources humaines, gestion du personnel, gestion de l'emploi",85.0,🟠,11.5,,,,
161,AUTO MOTO ECOLE 2000,428253652,PARIS 20,75020,Île-de-France,5,368,"Enseignement, formation",85.0,🟠,11.5,,,,
162,AUTO ECOLE AMG M2,905326484,TOURNAN EN BRIE,77220,Île-de-France,4,364,"Enseignement, formation",85.0,🟠,9.5,,,,
163,NATION FORMATION,913585915,PARIS 11,75011,Île-de-France,4,364,"Enseignement, formation",85.0,🟠,9.5,,,,
164,auto-ecole Jeanne d'Arc,814274304,PARIS 13,75013,Île-de-France,5,357,"Enseignement, formation",85.0,🟠,11.5,,,,
165,MY RH CONSEIL,507743458,,,Provence-Alpes-Côte d'Azur,4,357,"Ressources humaines, gestion du personnel, gestion de l'emploi",85.0,🟠,9.5,,,,
166,ACCESSIO,429368525,,,Centre-Val de Loire,5,356,"Ressources humaines, gestion du personnel, gestion de l'emploi",85.0,🟠,11.5,,,,
167,AUTO ECOLE DU MARCHE,402808349,,,Île-de-France,5,356,"Enseignement, formation",85.0,🟠,11.5,,,,
168,BM CONDUITE,905391827,,,Provence-Alpes-Côte d'Azur,4,355,"Enseignement, formation",85.0,🟠,9.5,,,,
169,PRENEVAM,840641021,LE PERREUX SUR MARNE,94170,Île-de-France,4,355,Développement des capacités comportementales et relationnelles,85.0,🟠,9.5,,,,
170,CYRCEE CONSULTING,788461119,,,Île-de-France,6,351,"Ressources humaines, gestion du personnel, gestion de l'emploi",85.0,🟠,13.5,,,,
